Locality,FIPS,Population < 36 Months,Number Confirmed Elevated,Confirmed Blood Lead Level Category 10-14 μg/dL,Confirmed Blood Lead Level Category 15-19 μg/dL,Confirmed Blood Lead Level Category 20-44 μg/dL,Confirmed Blood Lead Level Category 45-69 μg/dL,Confirmed Blood Lead Level Category ≥ 70 μg/dL
Danville,51590,"1,629",2,2,,,,
Emporia,51595,244,0,,,,,
Fairfax,51600,759,0,,,,,
Falls Church,51610,487,0,,,,,
Franklin,51620,380,0,,,,,
Fredericksburg,51630,984,2,,1,1,,
Galax,51640,252,0,,,,,
Hampton,51650,"5,379",0,,,,,
Harrisonburg,51660,"1,488",1,,1,,,
Hopewell,51670,"1,073",0,,,,,
Lexington,51678,111,0,,,,,
Lynchburg,51680,"2,805",4,2,1,1,,
Manassas,51683,"1,892",1,,1,,,
Manassas Park,51685,777,0,,,,,
Martinsville,51690,517,0,,,,,
Newport News,51700,"8,220",2,2,,,,
Norfolk,51710,"10,274",7,5,1,1,,
Norton,51720,160,0,,,,,
Petersburg,51730,"1,316",3,1,2,,,
Poquoson,51735,299,0,,,,,
Portsmouth,51740,"4,244",2,1,1,,,
Radford,51750,360,0,,,,,
Richmond,51760,"8,003",22,10,4,8,,
Roanoke,51770,"4,345",5,3,1,1,,
Salem,51775,704,0,,,,,
Staunton,51790,811,1,1,,,,
Suffolk,51800,"3,446",0,,,,,
Virginia Beach,51810,"17,628",2,2,,,,
Waynesboro,51820,931,1,1,,,,
Williamsburg,51830,264,0,,,,,
Winchester,51840,"1,096",1,1,,,,
Virginia,,"303,439",111,64,20,27,0,0
