Locality,FIPS,Population < 72 Months,Number Tested,Number Confirmed Elevated,Percent Confirmed Elevated,Confirmed Blood Lead Level Category 10-14 μg/dL,Confirmed Blood Lead Level Category 15-19 μg/dL,Confirmed Blood Lead Level Category 20-44 μg/dL,Confirmed Blood Lead Level Category 45-69 μg/dL,Confirmed Blood Lead Level Category ≥ 70 μg/dL
Rockingham County,51165,"5,163","1,274",2,0.20%,1,1,0,0,0
Russell County,51167,"1,955",295,4,1.40%,2,0,2,0,0
Scott County,51169,"1,487",186,2,1.10%,0,0,2,0,0
Shenandoah County,51171,"2,379",280,2,0.70%,1,1,0,0,0
Smyth County,51173,"2,158",479,2,0.40%,1,0,1,0,0
Southampton County,51175,"1,070",110,3,2.70%,2,1,0,0,0
Spotsylvania County,51177,"8,430",894,6,0.70%,3,2,1,0,0
Stafford County,51179,"8,810",910,2,0.20%,2,0,0,0,0
Surry County,51181,477,38,0,0.00%,0,0,0,0,0
Sussex County,51183,713,142,3,2.10%,1,0,2,0,0
Tazewell County,51185,"2,879",825,0,0.00%,0,0,0,0,0
Warren County,51187,"2,576",206,0,0.00%,0,0,0,0,0
Washington County,51191,"3,147",244,0,0.00%,0,0,0,0,0
Westmoreland County,51193,"1,046",122,0,0.00%,0,0,0,0,0
Wise County,51195,"2,802",111,0,0.00%,0,0,0,0,0
Wythe County,51197,"1,823",436,1,0.20%,1,0,0,0,0
York County,51199,"4,439",96,0,0.00%,0,0,0,0,0
Alexandria,51510,"9,262","1,781",4,0.20%,4,0,0,0,0
Bedford,51515,424,151,0,0.00%,0,0,0,0,0
Bristol,51520,"1,114",100,1,1.00%,0,1,0,0,0
Buena Vista,51530,461,31,0,0.00%,0,0,0,0,0
Charlottesville,51540,"2,368",90,0,0.00%,0,0,0,0,0
Chesapeake,51550,"17,265","1,345",6,0.40%,6,0,0,0,0
Colonial Heights,51570,"1,113",209,0,0.00%,0,0,0,0,0
Covington,51580,471,69,1,1.40%,1,0,0,0,0
Danville,51590,"3,502",685,14,2.00%,6,3,5,0,0
Emporia,51595,436,156,6,3.80%,3,2,1,0,0
Fairfax,51600,"1,538",706,1,0.10%,1,0,0,0,0
Falls Church,51610,690,205,0,0.00%,0,0,0,0,0
Franklin,51620,538,135,0,0.00%,0,0,0,0,0
Fredericksburg,51630,"1,332",335,4,1.20%,4,0,0,0,0
Galax,51640,525,200,2,1.00%,1,0,1,0,0
Hampton,51650,"11,272","1,065",6,0.60%,4,1,1,0,0
Harrisonburg,51660,"2,281",498,2,0.40%,1,1,0,0,0
Hopewell,51670,"2,020",331,4,1.20%,3,1,0,0,0
Lexington,51678,247,26,0,0.00%,0,0,0,0,0
Lynchburg,51680,"4,660","1,104",3,0.30%,0,2,0,1,0
Manassas,51683,"3,636",873,1,0.10%,1,0,0,0,0
Manassas Park,51685,"1,235",401,1,0.20%,1,0,0,0,0
Martinsville,51690,"1,051",117,0,0.00%,0,0,0,0,0
Newport News,51700,"17,107","1,567",11,0.70%,8,2,1,0,0
Norfolk,51710,"19,719","2,810",23,0.80%,14,9,0,0,0
Norton,51720,255,14,0,0.00%,0,0,0,0,0
Petersburg,51730,"2,610",565,17,3.00%,11,3,3,0,0
Poquoson,51735,738,23,0,0.00%,0,0,0,0,0
Portsmouth,51740,"8,555","1,000",12,1.20%,7,4,1,0,0
Radford,51750,661,90,1,1.10%,0,0,1,0,0
Richmond,51760,"14,788","4,795",66,1.40%,44,12,9,1,0
Roanoke,51770,"7,453","1,243",18,1.40%,10,5,3,0,0
Salem,51775,"1,479",363,1,0.30%,1,0,0,0,0
Staunton,51790,"1,493",462,1,0.20%,0,0,1,0,0
Suffolk,51800,"5,586",858,10,1.20%,5,2,2,1,0
Virginia Beach,51810,"37,054","2,059",1,0.00%,0,1,0,0,0
Waynesboro,51820,"1,546",135,5,3.70%,2,1,2,0,0
Williamsburg,51830,370,7,0,0.00%,0,0,0,0,0
Winchester,51840,"1,722",381,0,0.00%,0,0,0,0,0
Unknown *,,,20488,3,0.00%,,,,,
Virginia,,"557,454","91,308",377,0.40%,237,79,58,3,0
