Locality,FIPS,Population < 36 Months,Number Tested,Testing Rate/1000^,Number Confired Elevated,Percent Confirmed Elevated,Confirmed Blood Lead Level Category 10-14 µg/dL,Confirmed Blood Lead Level Category 15-19 µg/dL,Confirmed Blood Lead Level Category 20-44 µg/dL,Confirmed Blood Lead Level Category 45-69 µg/dL,Confirmed Blood Lead Level Category ≥ 70 µg/dL
Rockingham County,51165,2512,304,121,2,0.7,2,0,0,0,0
Russell County,51167,919,122,133,0,0.0,0,0,0,0,0
Scott County,51169,708,90,127,0,0.0,0,0,0,0,0
Shenandoah County,51171,1126,177,157,2,1.1,1,1,0,0,0
Smyth County,51173,1064,103,97,0,0.0,0,0,0,0,0
Southampton County,51175,532,41,77,1,2.4,0,0,1,0,0
Spotsylvania County,51177,4013,243,61,2,0.8,1,1,0,0,0
Stafford County,51179,4089,125,31,2,1.6,2,0,0,0,0
Surry County,51181,230,22,96,0,0.0,0,0,0,0,0
Sussex County,51183,375,37,99,0,0.0,0,0,0,0,0
Tazewell County,51185,1358,317,233,2,0.6,1,1,0,0,0
Warren County,51187,1255,72,57,0,0.0,0,0,0,0,0
Washington County,51191,1565,98,63,1,1.0,0,0,1,0,0
Westmoreland County,51193,551,72,131,2,2.8,2,0,0,0,0
Wise County,51195,1382,97,70,0,0.0,0,0,0,0,0
Wythe County,51197,899,62,69,3,4.8,1,0,2,0,0
York County,51199,2021,59,29,0,0.0,0,0,0,0,0
Alexandria,51510,5177,939,181,5,0.5,3,2,0,0,0
Bedford,51515,211,66,313,1,1.5,0,1,0,0,0
Bristol,51520,557,68,122,0,0.0,0,0,0,0,0
Buena Vista,51530,231,15,65,0,0.0,0,0,0,0,0
Charlottesville,51540,1237,184,149,0,0.0,0,0,0,0,0
Chesapeake,51550,8475,639,75,7,1.1,6,1,0,0,0
Colonial Heights,51570,517,56,108,0,0.0,0,0,0,0,0
Covington,51580,216,133,616,0,0.0,0,0,0,0,0
Danville,51590,1747,246,141,3,1.2,1,1,1,0,0
Emporia,51595,216,19,88,0,0.0,0,0,0,0,0
Fairfax,51600,807,248,307,0,0.0,0,0,0,0,0
Falls Church,51610,344,74,215,0,0.0,0,0,0,0,0
Franklin,51620,263,59,224,0,0.0,0,0,0,0,0
Fredericksburg,51630,710,79,111,2,2.5,1,1,0,0,0
Galax,51640,275,108,393,0,0.0,0,0,0,0,0
Hampton,51650,5595,785,140,5,0.6,4,0,1,0,0
Harrisonburg,51660,1208,151,125,2,1.3,2,0,0,0,0
Hopewell,51670,986,117,119,1,0.9,0,1,0,0,0
Lexington,51678,113,10,88,0,0.0,0,0,0,0,0
Lynchburg,51680,2297,224,98,5,2.2,3,0,2,0,0
Manassas,51683,1817,272,150,1,0.4,1,0,0,0,0
Manassas Park,51685,635,116,183,1,0.9,1,0,0,0,0
Martinsville,51690,529,30,57,1,3.3,0,0,1,0,0
Newport News,51700,8617,1021,118,9,0.9,8,0,1,0,0
Norfolk,51710,10201,1775,174,19,1.1,17,0,2,0,0
Norton,51720,116,10,86,0,0.0,0,0,0,0,0
Petersburg,51730,1313,144,110,1,0.7,1,0,0,0,0
Poquoson,51735,344,6,17,0,0.0,0,0,0,0,0
Portsmouth,51740,4374,879,201,9,1.0,3,4,2,0,0
Radford,51750,357,21,59,0,0.0,0,0,0,0,0
Richmond,51760,7608,1803,237,48,2.7,31,13,3,1,0
Roanoke,51770,3837,1078,281,20,1.9,11,5,3,1,0
Salem,51775,671,220,328,1,0.5,1,0,0,0,0
Staunton,51790,775,318,410,3,0.9,2,1,0,0,0
Suffolk,51800,2740,596,218,7,1.2,5,1,1,0,0
Virginia Beach,51810,18395,981,53,3,0.3,2,1,0,0,0
Waynesboro,51820,786,250,318,2,0.8,0,2,0,0,0
Williamsburg,51830,195,3,15,0,0.0,0,0,0,0,0
Winchester,51840,853,43,50,1,2.3,1,0,0,0,0
Unknown,,,5701,,1,0.0,1,0,0,0,0
Virginia,,276483,36176,131,248,0 .7,169,48,28,30,
