,,,,,,,,,,
Isle of Wight County,51093,"2,190",257,3,1.20%,2,1,0,0,0
James City County,51095,"3,307",352,0,0.00%,0,0,0,0,0
King and Queen County,51097,451,38,1,2.60%,1,0,0,0,0
King George County,51099,"1,510",164,2,1.20%,1,0,1,0,0
King William County,51101,"1,121",96,1,1.00%,1,0,0,0,0
Lancaster County,51103,577,74,0,0.00%,0,0,0,0,0
Lee County,51105,"1,648",269,1,0.40%,0,1,0,0,0
Loudoun County,51107,"19,682","1,854",0,0.00%,0,0,0,0,0
Louisa County,51109,"1,904",275,0,0.00%,0,0,0,0,0
Lunenburg County,51111,784,153,1,0.70%,1,0,0,0,0
Madison County,51113,864,85,0,0.00%,0,0,0,0,0
Mathews County,51115,504,44,0,0.00%,0,0,0,0,0
Mecklenburg County,51117,"2,093",422,6,1.40%,5,0,1,0,0
Middlesex County,51119,452,44,1,2.30%,1,0,0,0,0
Montgomery County,51121,"4,758",317,0,0.00%,0,0,0,0,0
Nelson County,51125,927,127,1,0.80%,1,0,0,0,0
New Kent County,51127,867,198,1,0.50%,1,0,0,0,0
Northampton County,51131,658,48,0,0.00%,0,0,0,0,0
Northumberland County,51133,"1,057",145,1,0.70%,1,0,0,0,0
Nottoway County,51135,"1,856",439,3,0.70%,2,0,1,0,0
Orange County,51137,"1,599",175,1,0.60%,1,0,0,0,0
Page County,51139,"1,359",141,1,0.70%,0,0,1,0,0
Patrick County,51141,"4,194",512,2,0.40%,2,0,0,0,0
Pittsylvania County,51143,"1,589",129,0,0.00%,0,0,0,0,0
Powhatan County,51145,"1,178",211,0,0.00%,0,0,0,0,0
Prince Edward County,51147,"2,402",157,1,0.60%,1,0,0,0,0
Prince George County,51149,"28,789","2,599",4,0.20%,3,1,0,0,0
Prince William County,51153,"2,339",279,0,0.00%,0,0,0,0,0
Pulaski County,51155,420,44,2,4.50%,2,0,0,0,0
Rappahannock County,51157,430,53,0,0.00%,0,0,0,0,0
Richmond County,51159,"5,587",486,1,0.20%,1,0,0,0,0
Roanoke County,51161,867,198,1,0.50%,1,0,0,0,0
Rockbridge County,51163,"1,351",30,0,0.00%,0,0,0,0,0
Rockingham County,51165,"5,163","1,074",1,0.10%,0,0,1,0,0
Russell County,51167,"1,955",301,1,0.30%,1,0,0,0,0
Scott County,51169,"1,487",71,2,2.80%,1,1,0,0,0
Shenandoah County,51171,"2,379",386,1,0.30%,1,0,0,0,0
Smyth County,51173,"2,158",389,2,0.50%,2,0,0,0,0
Southampton County,51175,"1,070",82,2,2.40%,0,1,1,0,0
Spotsylvania County,51177,"8,430","1,047",2,0.20%,1,0,1,0,0
Stafford County,51179,"8,810",701,1,0.10%,0,0,1,0,0
Surry County,51181,477,48,1,2.10%,0,1,0,0,0
Sussex County,51183,713,140,1,0.70%,1,0,0,0,0
Tazewell County,51185,"2,879",791,2,0.30%,2,0,0,0,0
Warren County,51187,"2,576",162,1,0.60%,0,1,0,0,0
Washington County,51191,"3,147",230,0,0.00%,0,0,0,0,0
Westmoreland County,51193,"1,046",132,1,0.80%,1,0,0,0,0
Wise County,51195,"2,802",187,2,1.10%,2,0,0,0,0
Wythe County,51197,"1,823",414,2,0.50%,2,0,0,0,0
York County,51199,"4,439",100,0,0.00%,0,0,0,0,0
Alexandria,51510,"9,262","1,659",3,0.20%,3,0,0,0,0
Bedford,51515,424,109,0,0.00%,0,0,0,0,0
Bristol,51520,"1,114",113,2,1.80%,1,0,1,0,0
Buena Vista,51530,461,11,0,0.00%,0,0,0,0,0
Charlottesville,51540,"2,368",563,1,0.20%,1,0,0,0,0
Chesapeake,51550,"17,265","1,088",8,0.70%,4,1,3,0,0
Colonial Heights,51570,"1,113",213,2,0.90%,1,1,0,0,0
Covington,51580,471,131,0,0.00%,0,0,0,0,0
Danville,51590,"3,502",862,13,1.50%,9,2,2,0,0
Emporia,51595,436,116,0,0.00%,0,0,0,0,0
Fairfax,51600,"1,538",591,2,0.30%,2,0,0,0,0
Falls Church,51610,690,128,0,0.00%,0,0,0,0,0
Franklin,51620,538,100,0,0.00%,0,0,0,0,0
Fredericksburg,51630,"1,332",350,2,0.60%,1,1,0,0,0
Galax,51640,525,183,1,0.50%,0,0,1,0,0
Hampton,51650,"11,272","1,282",6,0.50%,4,0,2,0,0
Harrisonburg,51660,"2,281",420,2,0.50%,0,1,1,0,0
Hopewell,51670,"2,020",421,3,0.70%,3,0,0,0,0
Lexington,51678,247,16,2,12.50%,2,0,0,0,0
Lynchburg,51680,"4,660",912,2,0.20%,1,1,0,0,0
Manassas,51683,"3,636","1,208",1,0.10%,1,0,0,0,0
Manassas Park,51685,"1,235",524,1,0.20%,1,0,0,0,0
Martinsville,51690,"1,051",98,1,1.00%,1,0,0,0,0
Newport News,51700,"17,107","1,581",7,0.40%,5,1,1,0,0
Norfolk,51710,"19,719","2,720",23,0.80%,15,4,4,0,0
Norton,51720,255,34,0,0.00%,0,0,0,0,0
Petersburg,51730,"2,610",689,16,2.30%,13,0,2,0,1
Poquoson,51735,738,22,0,0.00%,0,0,0,0,0
Portsmouth,51740,"8,555","1,045",8,0.80%,8,0,0,0,0
Radford,51750,661,86,0,0.00%,0,0,0,0,0
Richmond,51760,"14,788","4,318",60,1.40%,34,19,7,0,0
Roanoke,51770,"7,453","1,611",17,1.10%,8,5,4,0,0
Salem,51775,"1,479",394,2,0.50%,0,2,0,0,0
Staunton,51790,"1,493",248,3,1.20%,2,1,0,0,0
Suffolk,51800,"5,586",989,10,1.00%,5,4,0,1,0
Virginia Beach,51810,"37,054","1,619",0,0.00%,0,0,0,0,0
Waynesboro,51820,"1,546",139,1,0.70%,1,0,0,0,0
Williamsburg,51830,370,8,0,0.00%,0,0,0,0,0
Winchester,51840,"1,722",333,4,1.20%,3,1,0,0,0
Unknown *,,,"18,610",0,0.00%,0,0,0,0,0
VIRGINIA,,"557,454","86,310",337,0.40%,216,68,51,1,1
