Locality,FIPS,Population < 72 Months,Number Tested,Number Confirmed Elevated,Percent Confirmed Elevated,Confirmed Blood Lead Level Category 10-14 μg/dL,Confirmed Blood Lead Level Category 15-19 μg/dL,Confirmed Blood Lead Level Category 20-44 μg/dL,Confirmed Blood Lead Level Category 45-69 μg/dL,Confirmed Blood Lead Level Category ≥ 70 μg/dL
James City County,51095,3307,351,3,0.9,1,2,0,0,0
King and Queen County,51097,451,53,0,0,0,0,0,0,0
King George County,51099,1510,271,2,0.7,1,1,0,0,0
King William County,51101,1121,124,1,0.8,1,0,0,0,0
Lancaster County,51103,577,111,0,0,0,0,0,0,0
Lee County,51105,1648,343,0,0,0,0,0,0,0
Loudoun County,51107,19682,1877,3,0.2,3,0,0,0,0
Louisa County,51109,1904,305,2,0.7,2,0,0,0,0
Lunenburg County,51111,784,187,3,1.6,2,1,0,0,0
Madison County,51113,864,93,1,1.1,1,0,0,0,0
Mathews County,51115,504,70,1,1.4,1,0,0,0,0
Mecklenburg County,51117,2093,527,4,0.8,3,1,0,0,0
Middlesex County,51119,452,121,0,0,0,0,0,0,0
Montgomery County,51121,4758,181,2,1.1,0,2,0,0,0
Nelson County,51125,927,198,2,1,1,1,0,0,0
New Kent County,51127,927,152,0,0,0,0,0,0,0
Northampton County,51131,867,277,3,1.1,2,1,0,0,0
Northumberland County,51133,658,101,5,5,0,0,3,2,0
Nottoway County,51135,1057,240,9,3.8,6,0,3,0,0
Orange County,51137,1856,303,0,0,0,0,0,0,0
Page County,51139,1599,186,0,0,0,0,0,0,0
Patrick County,51141,1359,120,1,0.8,1,0,0,0,0
Pittsylvania County,51143,4194,738,0,0,0,0,0,0,0
Powhatan County,51145,1589,198,0,0,0,0,0,0,0
Prince Edward County,51147,1178,333,1,0.3,1,0,0,0,0
Prince George County,51149,2402,152,0,0,0,0,0,0,0
Prince William County,51153,28789,3503,7,0.2,6,1,0,0,0
Pulaski County,51155,2339,357,1,0.3,0,0,1,0,0
Rappahannock County,51157,420,105,2,1.9,2,0,0,0,0
Richmond County,51159,430,67,2,3,2,0,0,0,0
Roanoke County,51161,5587,413,1,0.2,0,1,0,0,0
Rockbridge County,51163,1351,69,0,0,0,0,0,0,0
Rockingham County,51165,5163,1185,4,0.3,1,2,1,0,0
Russell County,51167,1955,191,1,0.5,1,0,0,0,0
Scott County,51169,1487,303,1,0.3,1,0,0,0,0
Shenandoah County,51171,2379,259,0,0,0,0,0,0,0
Smyth County,51173,2158,465,0,0,0,0,0,0,0
Southampton County,51175,1070,153,0,0,0,0,0,0,0
Spotsylvania County,51177,8430,1263,3,0.2,2,0,1,0,0
Stafford County,51179,8810,1032,4,0.4,4,0,0,0,0
Surry County,51181,477,47,0,0,0,0,0,0,0
Sussex County,51183,713,185,2,1.1,2,0,0,0,0
Tazewell County,51185,2879,657,2,0.3,2,0,0,0,0
Warren County,51187,2576,212,2,0.9,1,1,0,0,0
Washington County,51191,3147,95,0,0,0,0,0,0,0
Westmoreland County,51193,1046,171,1,0.6,1,0,0,0,0
Wise County,51195,2802,338,1,0.3,1,0,0,0,0
Wythe County,51197,1823,420,1,0.2,1,0,0,0,0
York County,51199,4439,123,0,0,0,0,0,0,0
Alexandria,51510,9262,2266,8,0.4,6,1,1,0,0
Bedford,51515,424,144,1,0.7,0,0,0,1,0
Bristol,51520,1114,125,2,1.6,0,1,1,0,0
Buena Vista,51530,461,21,0,0,0,0,0,0,0
Charlottesville,51540,2368,427,0,0,0,0,0,0,0
Chesapeake,51550,17265,1761,6,0.3,5,1,0,0,0
Colonial Heights,51570,1113,275,0,0,0,0,0,0,0
Covington,51580,471,193,1,0.5,1,0,0,0,0
Danville,51590,3502,1350,16,1.2,13,2,1,0,0
Emporia,51595,436,300,2,0.7,2,0,0,0,0
Fairfax,51600,1538,819,0,0,0,0,0,0,0
Falls Church,51610,690,198,0,0,0,0,0,0,0
Franklin,51620,538,174,0,0,0,0,0,0,0
Fredericksburg,51630,1332,408,1,0.2,1,0,0,0,0
Galax,51640,525,259,1,0.4,1,0,0,0,0
Hampton,51650,11272,1581,3,0.2,2,0,0,1,0
Harrisonburg,51660,2281,543,4,0.7,3,1,0,0,0
Hopewell,51670,2020,424,0,0,0,0,0,0,0
Lexington,51678,247,49,0,0,0,0,0,0,0
Lynchburg,51680,4660,1062,5,0.5,3,1,0,1,0
Manassas,51683,3636,1327,0,0,0,0,0,0,0
Manassas Park,51685,1235,570,2,0.4,1,1,0,0,0
Martinsville,51690,1051,155,3,1.9,2,1,0,0,0
Newport News,51700,17107,2177,13,0.6,10,1,2,0,0
Norfolk,51710,19719,3806,21,0.6,17,2,2,0,0
Norton,51720,255,54,0,0,0,0,0,0,0
Petersburg,51730,2610,880,18,2,9,4,5,0,0
Poquoson,51735,738,37,0,0,0,0,0,0,0
Portsmouth,51740,8555,1443,8,0.6,8,0,0,0,0
Radford,51750,661,89,1,1.1,1,0,0,0,0
Richmond,51760,14788,5632,78,1.4,52,9,17,0,0
Roanoke,51770,7453,1440,19,1.3,14,4,1,0,0
Salem,51775,1479,358,0,0,0,0,0,0,0
Staunton,51790,1493,572,3,0.5,1,1,1,0,0
Suffolk,51800,5586,950,11,1.2,6,4,1,0,0
Virginia Beach,51810,37054,2685,0,0,0,0,0,0,0
Waynesboro,51820,1546,544,6,1.1,2,1,3,0,0
Williamsburg,51830,370,4,0,0,0,0,0,0,0
Winchester,51840,1722,437,4,0.9,1,1,2,0,0
Unknown *,,,13040,0,0,0,0,0,0,0
Virginia,,557454,102532,417,0.4,287,62,61,7,0
