Locality,FIPS,Population < 36 Months,Number Tested,Testing Rate/1000^,Number Confirmed Elevated,Percent Confirmed Elevated,Confirmed Blood Lead Level Category 10-14 μg/dL,Confirmed Blood Lead Level Category 15-19 μg/dL,Confirmed Blood Lead Level Category 20-44 μg/dL,Confirmed Blood Lead Level Category 45-69 μg/dL,Confirmed Blood Lead Level Category ≥ 70 μg/dL
Warren County,51187,1255,136,108,2,1.5,1,1,0,0,0
Washington County,51191,1565,68,43,0,0,0,0,0,0,0
Westmoreland County,51193,551,83,151,1,1.2,1,0,0,0,0
Wise County,51195,1382,191,138,1,0.5,1,0,0,0,0
Wythe County,51197,899,227,253,1,0.4,1,0,0,0,0
York County,51199,2021,72,36,0,0,0,0,0,0,0
Alexandria,51510,5177,1503,290,6,0.4,4,1,1,0,0
Bedford,51515,211,95,450,0,0,0,0,0,0,0
Bristol,51520,557,64,115,1,1.6,0,1,0,0,0
Buena Vista,51530,231,9,39,0,0,0,0,0,0,0
Charlottesville,51540,1237,361,292,0,0,0,0,0,0,0
Chesapeake,51550,8475,1100,130,5,0.5,5,0,0,0,0
Colonial Heights,51570,517,149,288,0,0,0,0,0,0,0
Covington,51580,216,150,694,1,0.7,1,0,0,0,0
Danville,51590,1747,770,441,7,0.9,6,1,0,0,0
Emporia,51595,216,121,560,0,0,0,0,0,0,0
Fairfax,51600,807,523,648,0,0,0,0,0,0,0
Falls Church,51610,344,145,422,0,0,0,0,0,0,0
Franklin,51620,263,130,494,0,0,0,0,0,0,0
Fredericksburg,51630,710,182,256,0,0,0,0,0,0,0
Galax,51640,275,186,676,0,0,0,0,0,0,0
Hampton,51650,5595,872,156,2,0.2,1,0,0,1,0
Harrisonburg,51660,1208,411,340,3,0.7,2,1,0,0,0
Hopewell,51670,986,194,197,0,0,0,0,0,0,0
Lexington,51678,113,30,265,0,0,0,0,0,0,0
Lynchburg,51680,2297,848,369,2,0.2,1,1,0,0,0
Manassas,51683,1817,742,408,0,0,0,0,0,0,0
Manassas Park,51685,635,330,520,2,0.6,1,1,0,0,0
Martinsville,51690,529,114,216,3,2.6,2,1,0,0,0
Newport News,51700,8617,1418,165,7,0.5,5,1,1,0,0
Norfolk,51710,10201,2306,226,10,0.4,8,1,1,0,0
Norton,51720,116,29,250,0,0,0,0,0,0,0
Petersburg,51730,1313,404,308,10,2.5,7,1,2,0,0
Poquoson,51735,344,25,73,0,0,0,0,0,0,0
Portsmouth,51740,4374,859,196,4,0.5,4,0,0,0,0
Radford,51750,357,37,104,0,0,0,0,0,0,0
Richmond,51760,7608,2990,393,40,1.3,24,4,12,0,0
Roanoke,51770,3837,683,178,14,2,11,2,1,0,0
Salem,51775,671,159,237,0,0,0,0,0,0,0
Staunton,51790,775,429,554,2,0.5,1,1,0,0,0
Suffolk,51800,2740,532,194,3,0.6,2,1,0,0,0
Virginia Beach,51810,18395,1669,91,0,0,0,0,0,0,0
Waynesboro,51820,786,352,448,6,1.7,2,1,3,0,0
Williamsburg,51830,195,1,5,0,0,0,0,0,0,0
Winchester,51840,853,261,306,3,1.1,0,1,2,0,0
Virginia,,276483,53505,194,242,0.5,161,38,38,5,0
